msgid,rus,en
UPGRADING...,УЛУЧШАЕТСЯ...,UPGRADING...
Serving the kitchen,УКРАШАЕМ КУХНЮ...,Serving the kitchen
Unknown,,Unknown
State: Expired,,State: Expired
RandomPointInVolume,,RandomPointInVolume
STARTS IN:,НАЧАЛО В:,STARTS IN:
Gyro,,Gyro
JetPack-Price,,JetPack-Price
CAPACITY,ЁМКОСТЬ,CAPACITY
make 5 armor upgrades,Улучшите броню 3 раза,make 5 armor upgrades
DEATH STAR,ЗВЕЗДА СМЕРТИ,DEATH STAR
Meme,МИМ,Meme
Upgrade: ,,Upgrade: 
SEE HOW YOU DID!,ГЛЯДИ НА СВОИ ДОСТИЖЕНИЯ,SEE HOW YOU DID!
Mantra,МАНТРА,Mantra
McFilthy boarding pirate ship...,ГРЯЗНОРОТЫЙ ВЫСАЖИВАЕТСЯ С ПИРАТСКОГО КОРАБЛЯ...,McFilthy boarding pirate ship...
EXIT,ВЫХОД,EXIT
Packing Crates...,,Packing Crates...
Grenade,ГРАНАТА,Grenade
The Banana bomb is a super weapon of mass destruction. Throw a bunch and make a second tap to trigger a bananas bombardment on your enemies' heads or wait until it automatically detonate after the rebound. Check the crates on the battlefield to get this special stuff.,"БАНАН-БОМБА - ОРУЖИЕ МАССОВОГО ПОРАЖЕНИЯ. БРОСАЙТЕ ЕЁ ВО ВРАГОВ, НАЖМИТЕ В ПОЛЁТЕ НА НЕЁ ИЛИ ПОДОЖДИТЕ, ПОКА ОНА РАСКОРЕТСЯ АВТОМАТИЧЕСКИ ПОСЛЕ РИКОШЕТА ОБ ЗЕМЛЮ. НАЙТИ ЭТОТ ОСОБЫЙ ПРЕДМЕТ МОЖНО В ЯЩИКАХ НА ПОЛЕ БОЯ",The Banana bomb is a super weapon of mass destruction. Throw a bunch and make a second tap to trigger a bananas bombardment on your enemies' heads or wait until it automatically detonate after the rebound. Check the crates on the battlefield to get this special stuff.
Iron Source - Reward,,Iron Source - Reward
Camera sensivity during horizontal aiming,ЧУВСТВИТЕЛЬНОСТЬ КАМЕРЫ ПРИ ГОРИЗОНТАЛЬНОМ ПРИЦЕЛИВАНИИ,Camera sensivity during horizontal aiming
YOU NEED,ВАМ НУЖНО,YOU NEED
Char Specs,,Char Specs
Downlod State not released for: {name} Requested: {requested} DownloadStatusError: {DSE} Download Status: {DS},,Downlod State not released for: {name} Requested: {requested} DownloadStatusError: {DSE} Download Status: {DS}
MENU,МЕНЮ,MENU
PERKS,НАВЫКИ,PERKS
South,,South
Gingerbread,ИМБИРНЫЙ ПРЯНЯ,Gingerbread
Incorrect texture Group! MSR in Champions folder should have CharacterMSR texture group,,Incorrect texture Group! MSR in Champions folder should have CharacterMSR texture group
Expanding battle sphere...,РАСШИРЯЕМ БОЕВУЮ СФЕРУ...,Expanding battle sphere...
"Update available, please update ASAP","ДОСТУПНО ОБНОВЛЕНИЕ. ПОЖАЛУЙСТА, ОБНОВИТЕ ИГРУ КАК МОЖНО СКОРЕЕ","Update available, please update ASAP"
"Come play every day and collect daily rewards to unlock officer D.O.Nut. Ultra heavy duty, you know.","Приходите играть каждый день и получайте ежедневные награды, чтобы разблокировать офицера Д.О.Ната. Ультрапрочный, знаете ли.","Come play every day and collect daily rewards to unlock officer D.O.Nut. Ultra heavy duty, you know."
JetpackBlueTrailVFX,,JetpackBlueTrailVFX
Hight,ВЫСОКИЕ,Hight
REMOVAL PENDING,,REMOVAL PENDING
Controlling jumping frenzy...,КОНТРОЛИРУЕМ БЕЗУМНЫЕ ПРЫЖКИ...,Controlling jumping frenzy...
LOOT YOUR NEW SNIPER RIFLE,ПОДБЕРИТЕ СВОЮ СНАЙПЕРСКУЮ ВИНТОВКУ,LOOT YOUR NEW SNIPER RIFLE
3.A Classic Magnet,,3.A Classic Magnet
DELIVERY STARTED,ДОСТАВКА НАЧАЛАСЬ,DELIVERY STARTED
Level-Active:,,Level-Active:
Mimic Wall,НЕВИДИМАЯ СТЕНА,Mimic Wall
BodyShot,,BodyShot
OPACITY,НЕПРОЗРАЧНОСТЬ,OPACITY
READY,ГОТОВО,READY
mythic,,mythic
Designing helmets...,ПРОЕКТИРУЕМ ШЛЕМА...,Designing helmets...
SRGB set True!,,SRGB set True!
Kill {0} enemies with banana bombs,Убейте {0} врагов банана-бомбами,Kill {0} enemies with banana bombs
Heating up jetpacks...,РАЗОГРЕВАЕМ ДЖЕТПАКИ...,Heating up jetpacks...
Armor Gold,,Armor Gold
MASTER CARD,КАРТОЧКИ МАСТЕРОВ,MASTER CARD
Slots Ready,,Slots Ready
Jet Trails,,Jet Trails
Mounted Packs count: {count},,Mounted Packs count: {count}
MAX 19 SYMBOLS,МАКС. 19 СИМВОЛОВ,MAX 19 SYMBOLS
Incorrect texture Group! Diffuse in Champions/Helmets folder should have Helmet texture group,,Incorrect texture Group! Diffuse in Champions/Helmets folder should have Helmet texture group
TO,К,TO
SNIPER,СНАЙПЕР,SNIPER
GO TO LEVEL REWARDS,К НАГРАДАМ ЗА LVL,GO TO LEVEL REWARDS
Checking the developers mood,ПРОВЕРЯЕМ НАСТРОЕНИЕ РАЗРАБОТЧИКОВ...,Checking the developers mood
Offer is not valid,ПРЕДЛОЖЕНИЕ НЕДОСТУПНО,Offer is not valid
Touchdown,,Touchdown
Preparing rewards,ПОДГОТАВЛИВАЕМ НАГРАДЫ...,Preparing rewards
", I'LL HELP, BRO","Я ПОМОГУ, БРО",", I'LL HELP, BRO"
SouthEast,,SouthEast
Offer,,Offer
Select Weapon,,Select Weapon
"The crab mine is a cute explosive super weapon. Drop it on the ground and when the enemy gets close the crab will chase your enemy, jump and explode! You can find it in the crates on the battlefield.","КРАБ-МИНА - МИЛЕНЬКАЯ, НО ВЗРЫВНАЯ ШТУЧКА. БРОСАЙТЕ ЕЁ НЕДАЛЕКО ОТ ВРАГА И НАБЛЮДАЙТЕ КАК ОНА БЕЖИТ ЗА НИМ, ПРЫГНЕТ И ВЗОРВЁТСЯ! ИЩИТЕ КРАБ-МИНУ В ЯЩИКАХ НА ПОЛЕ БОЯ","The crab mine is a cute explosive super weapon. Drop it on the ground and when the enemy gets close the crab will chase your enemy, jump and explode! You can find it in the crates on the battlefield."
Grand Slam,ЩАС Я ТЕБЕ ВРЕЖУ!,Grand Slam
THIS TIME YOU PLACED,В ЭТОТ РАЗ ТЫ ЗАНЯЛ,THIS TIME YOU PLACED
Hit me to add a navigation blocking volume!,,Hit me to add a navigation blocking volume!
GO,ВПЕРЁД!,GO
RESULTS,РЕЗУЛЬТАТЫ,RESULTS
On,,On
Ultra,УЛЬТРА,Ultra
TRAINING,ТРЕНИРОВКА,TRAINING
Killer Carrots,МОРКОВКИ-УБИЙЦЫ,Killer Carrots
MERCENARY CONTRACTS,КОНТРАКТЫ НАЁМНИКА,MERCENARY CONTRACTS
XP +50%,,XP +50%
"avaliable later 
in game","БУДЕТ ДОСТУПНО
ПОЗДНЕЕ В ИГРЕ","avaliable later 
in game"
REWARDS,НАГРАДЫ,REWARDS
PENTA,PENTA,PENTA
Rescure,ПОМОШНИЧЕК,Rescure
 YOUR,ТВОЙ, YOUR
Molotov,КОКТЕЙЛЬ МОЛОТОВА,Molotov
EMPTY,ПУСТО,EMPTY
Pixie,ПИКСИ,Pixie
WITH THE TRANSACTION.,С ТРАНЗАКЦИЕЙ.,WITH THE TRANSACTION.
LIMITED  {REST}/{MAX},ЛИМИТ {REST}/{MAX},LIMITED  {REST}/{MAX}
IRS Reward,,IRS Reward
Resume,,Resume
Dressing up Masters,ОДЕВАЕМ МАСТЕРОВ...,Dressing up Masters
"ANOTHER UPGRADE
IN PROGRESS","ДРУГОЕ ОРУЖИЕ
УЖЕ УЛУЧШАЕТСЯ","ANOTHER UPGRADE
IN PROGRESS"
/,,/
ROOKIE QUESTS,ЗАДАНИЯ НОВИЧКА,ROOKIE QUESTS
CONNECTIONS,АККАУНТ,CONNECTIONS
Weap-Spec,,Weap-Spec
STORE,МАГАЗИН,STORE
Swipe,,Swipe
killer,УБИЙЦА,killer
Joystick,,Joystick
LVL REWARDS,НАГРАДЫ ЗА УРОВЕНЬ Новая,LVL REWARDS NEW
Remain: 00:00:00 - 100.0%,,Remain: 00:00:00 - 100.0%
PREVIOUS RESULTS,ПРЕДЫДУЩИЕ РЕЗУЛЬТАТЫ,PREVIOUS RESULTS
Useful links,,Useful links
GO TO GUN,К ОРУЖИЮ,GO TO GUN
not !@#$%^&*(),НЕ ИСПОЛЬЗУЙТЕ: ! @ # $ % ^ & * ( ) ,not !@#$%^&*()
Downloading the jumping fun,ЗАГРУЖАЕМ ВЕСЕЛЫЕ ПРЫЖКИ...,Downloading the jumping fun
PRESS THE GRENADE BUTTON,НАЖМИТЕ НА КНОПКУ С ИЗОБРАЖЕНИЕМ ГРАНАТЫ,PRESS THE GRENADE BUTTON
ULT,УЛЬТА,ULT
CAPTURING,ЗАХВАТ,CAPTURING
Start the match with the best red body armor! Upgrade your Masters to get body armor improvements!,,Start the match with the best red body armor! Upgrade your Masters to get body armor improvements!
UNLOCK MASTER LVL {Level},РАЗБЛОКИРОВАТЬ МАСТЕРА LV. {Level},UNLOCK MASTER LVL {Level}
Add/Remove spline point,,Add/Remove spline point
Link,ССЫЛКА,Link
Delete Account,,Delete Account
Checking the developers mood...,ПРОВЕРЯЕМ НАСТРОЕНИЕ РАЗРАБОТЧИКОВ...,Checking the developers mood...
FOR,ДЛЯ,FOR
max upgrade 24 guns,Улушите 24 оружия до максимума,max upgrade 24 guns
HELMET DOWN,ШЛЕМОВ СБИТО,HELMET DOWN
UPGRADE PURCHASE,ПОКУПКА УЛУЧШЕНИЙ,UPGRADE PURCHASE
Shootout recap,,Shootout recap
MEDKIT,АПТЕЧКА,MEDKIT
Incorrect texture Group! Normal in Champions/Helmets folder should have HelmetNormalMap texture group,,Incorrect texture Group! Normal in Champions/Helmets folder should have HelmetNormalMap texture group
Demo 5 - Edit spline runtime(Basic),,Demo 5 - Edit spline runtime(Basic)
Graphics settings,НАСТРОЙКИ ГРАФИКИ,Graphics settings
BARREL,СТВОЛ,BARREL
FIRE RATE,СКОРОСТРЕЛЬНОСТЬ,FIRE RATE
YOU DIDN'T WIN THE PRIZE,ВЫ НЕ ВЫИГРАЛИ НАГРАДУ,YOU DIDN'T WIN THE PRIZE
No presents for lazy kids with not upgraded guns!,,No presents for lazy kids with not upgraded guns!
Knight forging shield...,СЭР РОДЕРИК КУЁТ ЩИТ...,Knight forging shield...
THIS TIME YOU'RE ,В ЭТОТ РАЗ ТЫ,THIS TIME YOU'RE 
Bunny Man,БАННИ МЭН,Bunny Man
 DMG TO GET TO,"УРОНА, ЧТОБЫ ЗАНЯТЬ", DMG TO GET TO
Rescue hating cold...,ПОМОШНИЧЕК ПРОЯВЛЯЕТ НЕНАВСИТЬ К ХОЛОДУ...,Rescue hating cold...
Bolt,,Bolt
{T} CHALLENGE,ИСПЫТАНИЕ: {T} ,{T} CHALLENGE
PLEASE SIGN IN TO SAVE YOUR PROGRESS,"ПОЖАЛУЙСТА, ВОЙДИТЕ В СВОЙ АККАУНТ, 
ЧТОБЫ СОХРАНИТЬ СВОЙ ПРОГРЕСС",PLEASE SIGN IN TO SAVE YOUR PROGRESS
REWARD,НАГРАДА,REWARD
YOU ARE A,ВЫ - ,YOU ARE A
Start: SM 0 / 00:10:00,,Start: SM 0 / 00:10:00
 THE BEST PROTECTION,ЛУЧШАЯ ЗАЩИТА, THE BEST PROTECTION
Bored playing donkey kong...,БОРД ИГРАЕТ В ДОНКИ-КОНГИ...,Bored playing donkey kong...
Banana,БАНАН,Banana
Heatlover,,Heatlover
YOU GOT THE,ВЫ ПОЛУЧИЛИ ,YOU GOT THE
UPGRADE WILL BE DELIVERED IN,УЛУЧШЕНИЕ БУДЕТ ДОСТАВЛЕНО ЧЕРЕЗ ,UPGRADE WILL BE DELIVERED IN
The XYZ scale of the non-sprite based particle.,,The XYZ scale of the non-sprite based particle.
Normal,,Normal
INVALID,НЕДЕЙСТВИТЕЛЬНО,INVALID
SURVIVE TO SAVE,"ВЫЖИВИ, ЧТОБЫ СОХРАНИТЬ",SURVIVE TO SAVE
Mission-Time,,Mission-Time
GET LVL REWARDS,ПОЛУЧИТЬ НАГРАДЫ ЗА УРОВЕНЬ Новая,GET LVL REWARDS New
Golden max upgrade tag looks like icing on the cake.,"""МАКС. АПГРЕЙД"" - это как украшение на тортике.",Golden max upgrade tag looks like icing on the cake.
Test Weapon Control,,Test Weapon Control
Sight:,,Sight:
Railgun,ЛАЗЕРНОЕ РУЖЬЁ,Railgun
Aiming,В ПРИЦЕЛЕ,Aiming
1,1,1
The lifetime of a particle in seconds.,,The lifetime of a particle in seconds.
KILLS TO WIN,"УБИЙСТВ, ЧТОБЫ ВЫИГРАТЬ",KILLS TO WIN
MASTER READY,МАСТЕР ГОТОВ,MASTER READY
NoAnimation,,NoAnimation
NEXT LVL {Level} REWARD:,НАГРАДА ЗА LV. {Level} ,NEXT LVL {Level} REWARD:
StartPoint blue,,StartPoint blue
"NOT BAD, I LIKE IT ","НЕПЛОХО, МНЕ НРАВИТСЯ","NOT BAD, I LIKE IT "
Barrel:,,Barrel:
THERMAL VISION,ТЕПЛОВИЗОР,THERMAL VISION
adjust spline thickness,,adjust spline thickness
Cowboy loves to see his guns upgraded!,Ковбой обожает смотреть на свои улучшенные пушки!,Cowboy loves to see his guns upgraded!
WestNorthWest,,WestNorthWest
NOT ENOUGH,НЕДОСТАТОЧНО,NOT ENOUGH
Demo 6 - Edit spline runtime(Complex),,Demo 6 - Edit spline runtime(Complex)
Shake,,Shake
CAPTURED,ЗАХВАЧЕНО,CAPTURED
Busted,АРЕСТ,Busted
Pick up {0} crab mines,Подберите {0} краб-мин,Pick up {0} crab mines
YOU WILL RECEIVE YOUR ,ВЫ ПОЛУЧИТЕ СВОЙ ,YOU WILL RECEIVE YOUR 
INVALID CHALLENGE,НЕДЕТЙСВИТЕЛЬНОЕ ИСПЫТАНИЕ,INVALID CHALLENGE
Gun skins can't deal damage. But it's much cooler when your gun deal it with style.,"СКИНЫ ОРУЖИЯ НЕ НАНОСИТ УРОНА. ОДНАКО КРУТО, КОГДА ВАША ПУШКА ВЫГЛЯДИТ СТИЛЬНО",Gun skins can't deal damage. But it's much cooler when your gun deal it with style.
J-Cat looking for Suspect...,ДЖЕЙ-КЭТ ИЩЕТ САСПЕКТА...,J-Cat looking for Suspect...
NOT INSTALLED,НЕ УСТАНОВЛЕНО,NOT INSTALLED
CameraRotationLagSpeed,,CameraRotationLagSpeed
Shading Quality,,Shading Quality
GO TO,ВПЕРЁД К,GO TO
Airstrike,УДАР С ВОЗДУХА,Airstrike
CUSTOMIZE HELMET,ПЕРСОНАЛИЗАЦИЯ ШЛЕМА,CUSTOMIZE HELMET
Drum,,Drum
Offset Add ZVelocity,,Offset Add ZVelocity
nd,-ОЙ,nd
"<YellowText46>YOU CAN</><WhiteText46> USE IT TO:</>
        <YellowText>INSTANTLY DELIVER</> WEAPON UPGRADES
        <YellowText>UPGRADE</> MASTERS AND EQUIPMENT
        <YellowText>GET</> PREMIUM ACCOUNTS
        <YellowText>BUY</> JETPACKS, HELMETS, SKINS FOR
        MASTERS AND WEAPONS","<YellowText46>ВЫ МОЖЕТЕ</><WhiteText46> ИСПОЛЬЗОЛЬВАТЬ ИХ, ЧТОБЫ:</>
        <YellowText>МГНОВЕННО ДОСТАВИТЬ</> УЛУЧШЕНИЕ ДЛЯ ОРУЖИЯ
        <YellowText>УЛУЧШИТЬ</> МАСТЕРОВ И ИХ СНАРЯЖЕНИЕ
        <YellowText>ПОЛУЧИТЬ</> СТАТУС ПРЕМИУМ-АККАУНТА
        <YellowText>КУПИТЬ</> ДЖЕТПАКИ, ШЛЕМА, СКИНЫ ДЛЯ
        МАСТЕРОВ И ОРУЖИЙ","<YellowText46>YOU CAN</><WhiteText46> USE IT TO:</>
        <YellowText>INSTANTLY DELIVER</> WEAPON UPGRADES
        <YellowText>UPGRADE</> MASTERS AND EQUIPMENT
        <YellowText>GET</> PREMIUM ACCOUNTS
        <YellowText>BUY</> JETPACKS, HELMETS, SKINS FOR
        MASTERS AND WEAPONS"
GOLD,ЗОЛОТО,GOLD
..PURCHASING..,ПОКУПКА,..PURCHASING..
State: Invalid,,State: Invalid
FORTUNE,РУЛЕТКА,FORTUNE
Detail mode,,Detail mode
LOADING,ЗАГРУЗКА,LOADING
UltCharge,,UltCharge
GET PREMIUM ACCOUNT,ПОЛУЧИТЕ ПРЕМИУМ,GET PREMIUM ACCOUNT
HEADSHOT DAMAGE,УРОН В ГОЛОВУ,HEADSHOT DAMAGE
WHAT'S YOUR FAVORITE MOBILE GAMES?,КАКАЯ МОБИЛЬНАЯ ИГРА ДЛЯ ВАС ЯВЛЯЕТСЯ ЛЮБИМОЙ?,WHAT'S YOUR FAVORITE MOBILE GAMES?
Scale Sprite Size,,Scale Sprite Size
Upgrade your Master's medkit. Restore more HP with less cooldown! Make upgrades in the Master's profile!,УЛУЧШАЙТЕ АПТЕЧКУ У СВОЕГО МАСТЕРА. ОНА СМОЖЕТ ВОССТАНАВЛИВАТЬ БОЛЬШЕ HP С МЕНЬШЕЙ ПЕРЕЗАРЯДКОЙ! СДЕЛАТЬ УЛУЧШЕНИЕ МОЖНО В ПРОФИЛЕ ВАШЕГО МАСТЕРА,Upgrade your Master's medkit. Restore more HP with less cooldown! Make upgrades in the Master's profile!
THE PREMIUM,ПРЕМИУМ-АККАУНТ,THE PREMIUM
"Magnetic Field
Toolkit",,"Magnetic Field
Toolkit"
Game-Over,,Game-Over
Lose,,Lose
TUTORIAL COMPLETE!,ТУТОРИАЛ ПРОЙДЕН!,TUTORIAL COMPLETE!
Cowboy Joe,КОВБОЙ ДЖО,Cowboy Joe
CUSTOMIZE MASTER,ПЕРСОНАЛИЗАЦИЯ МАСТЕРА,CUSTOMIZE MASTER
Demo 7 -Connect widgets like a rope,,Demo 7 -Connect widgets like a rope
Crazy Legs practicing touchdown...,КРЕЙЗИ ЛЕГС ПРАКТИКУЕТ ТАЧДАУН...,Crazy Legs practicing touchdown...
"The one and only. Create your own unique look with thousands of combinations of masters, helmets, jetpacks and gun skins.","ЕДИНСТВЕННЫЙ И НЕПОВТОРИМЫЙ СТИЛЬ.
СОЗДАЙТЕ СВОЙ УНИКАЛЬНЫЙ ОБРАЗ С ПОМОЩЬЮ ТЫСЯЧ КОМБИНАЦИЙ МАСТЕРОВ, ДЖЕТПАКОВ И СКИНОВ ОРУЖИЯ","The one and only. Create your own unique look with thousands of combinations of masters, helmets, jetpacks and gun skins."
Requesting Golden max upgrade tag on my guns. Execute.,Запрашиваю МАКС. АПГРЕЙД на моем оружии. Выполнять.,Requesting Golden max upgrade tag on my guns. Execute.
Win,,Win
Meshes,,Meshes
COME BACK ,ВОЗВРАЩАЙТЕСЬ ПОЗЖЕ,COME BACK 
Searching for crab mine...,ИЩЕМ КРАБ-МИНЫ...,Searching for crab mine...
Health,,Health
ROUNDS/SEC,ВЫСТРЕЛ/СЕК,ROUNDS/SEC
Armor Blue,,Armor Blue
Task-Progress,,Task-Progress
SPIN,КРУТИТЬ,SPIN
"Unlike other shooters, ours","В ОТЛИЧИИ ОТ ДРУГИХ СТРЕЛЯЮЩИХ, НАШИ","Unlike other shooters, ours"
legendary,,legendary
upgrade any master to lvl 5 ,Улушите любого мастера до LV. 5,upgrade any master to lvl 5 
DELIVERING,ДОСТАВКА,DELIVERING
"THANK YOU, SIR!","СПАСИБО, СЭР!","THANK YOU, SIR!"
"no premium, no helmet","БЕЗ ПРЕМИУМА, БЕЗ ШЛЕМА","no premium, no helmet"
AIM AT THE ENEMY AND FIRE,ПРИЦЕЛЬТЕСЬ НА ВРАГА И СТРЕЛЯЙТЕ,AIM AT THE ENEMY AND FIRE
Time-Rest,,Time-Rest
OOPS...,ОЙ-ЁЙ!,OOPS...
Graphics Preset (Visuals and Performance),,Graphics Preset (Visuals and Performance)
Done,,Done
Distance from start of ribbon that the particle lies.,,Distance from start of ribbon that the particle lies.
Flamethrower,ОГНЕМЁТ,Flamethrower
DEAL MORE {t} TO ENTER THE TOP,"СДЕЛАЙ ЕЩЁ {t}, ЧТОБЫ ВОЙТИ В ТОП",DEAL MORE {t} TO ENTER THE TOP
Crosshair Bullets Style,СТИЛЬ ПУЛЬ ДЛЯ ПРИЦЕЛА,Crosshair Bullets Style
1925 DMG,1925 УРОНА,1925 DMG
ForceShield,,ForceShield
UPDATE  AFTER,ОБНОВИТЬ ПОСЛЕ,UPDATE  AFTER
CHARACTER/CARDS,МАСТЕРА/КАРТОЧКИ,CHARACTER/CARDS
SHOP FOR  GOODIES,КУПИТЬ НИШТЯКИ,SHOP FOR  GOODIES
Demo 8 - Avoid spline been culled at runtime,,Demo 8 - Avoid spline been culled at runtime
No Place,,No Place
Reward Weapon,,Reward Weapon
JETPACK WORKS WITHOUT ERRORS,ДЖЕТПАК: ОШИБОК НЕ ВЫЯСЛЕНО,JETPACK WORKS WITHOUT ERRORS
"Exponent to apply to the falloff. Defaults to 0.5, which functions as ""inverse square"".",,"Exponent to apply to the falloff. Defaults to 0.5, which functions as ""inverse square""."
Delete account,УДАЛЕНИЕ АККАУНТА,Delete account
You can choose the starting weapons for all game modes except the battle royalle.,"ВЫ МОЖЕТЕ ВЫБРАТЬ СТАРТОВОЕ ОРУЖИЕ ДЛЯ ВСЕХ РЕЖИМОВ ИГРЫ, КРОМЕ ""КОРОЛЕВСКОЙ БИТВЫ""",You can choose the starting weapons for all game modes except the battle royalle.
Used to multiply the generated UVs for Sprite renderers.,,Used to multiply the generated UVs for Sprite renderers.
SHOTGUN,ДРОБОВИК,SHOTGUN
JUMP!,ПРЫГАЙ!,JUMP!
Pixie serving cooler...,ПИКСИ ЗАПОЛНЯЕТ КУЛЕР ВОДОЙ...,Pixie serving cooler...
Heating up the jetpacks...,ЗАПРАВЛЯЕМ ДЖЕТПАКИ...,Heating up the jetpacks...
"Damage, that's why I love these upgrades!",Урон - вот за что я обожаю эти улучшения!,"Damage, that's why I love these upgrades!"
Sticky,,Sticky
You can get a lot of glory with a kind word and upgraded gun.,,You can get a lot of glory with a kind word and upgraded gun.
{p}%,,{p}%
D,Д,D
DELIVERED!,ДОСТАВЛЕНО!,DELIVERED!
Armor Purple,,Armor Purple
State: Pending,,State: Pending
Graphics preset that affects the visuals and performance of the game,,Graphics preset that affects the visuals and performance of the game
Fail,,Fail
Sus pect,ЗАКЛЮЧЁННЫЙ,Sus pect
LOADING MAP,ЗАГРУЗКА КАРТЫ,LOADING MAP
HEY! ,ЭЙ!,HEY! 
Weapon Volume,"ГРОМКОСТЬ ЗВУКОВ 
ОРУЖИЯ И ВЫСТРЕЛОВ",Weapon Volume
"AMOUNT OF ACHIEVEMENTS WILL
SPEAK FOR ITSELF.
SHOW 'EM WHAT YOU'RE WORTH!","КОЛИЧЕСТВО ДОСТИЖЕНИЙ
ГОВОРИТ САМО ЗА СЕБЯ.
ПОКАЖИ ВСЕМ, ЧЕГО ТЫ СТОИШЬ!","AMOUNT OF ACHIEVEMENTS WILL
SPEAK FOR ITSELF.
SHOW 'EM WHAT YOU'RE WORTH!"
Converted cascade module ParticleModuleColorOverLife.,,Converted cascade module ParticleModuleColorOverLife.
REACHED!,ДОСТИГНУТО!,REACHED!
straight line,,straight line
SpinHeadshot,,SpinHeadshot
Graphic Level,УРОВЕНЬ ГРАФИКИ,Graphic Level
KITCHEN,КУХНЯ,KITCHEN
"{s} seconds left, tap to appear!","СЕКУНД ОСТАЛОСЬ, НАЖМИ, ЧТОБЫ ПОЯВИТЬСЯ!","{s} seconds left, tap to appear!"
Solo,,Solo
Gyroscope Aiming Sensitivity,ЧУВСТВИТЕЛЬНОСТЬ ГИРОСКОПА В ПРИЦЕЛЕ,Gyroscope Aiming Sensitivity
Crash Test,,Crash Test
INFO PENDING,,INFO PENDING
"ONE DAY YOU'LL KNOW
THE STORY OF THIS
CHARACTER","ОДНАЖДЫ ВЫ УЗНАЕТЕ
ИСТОРИЮ ЭТОГО
ПЕРСОНАЖА","ONE DAY YOU'LL KNOW
THE STORY OF THIS
CHARACTER"
GRIZZLY?,ГРИЗЛИ?,GRIZZLY?
HARVEST,УРОЖАЙ,HARVEST
Bullet:,,Bullet:
upgrade any two masters to lvl 10 ,Улушите любых 2 мастеров до LV. 10,upgrade any two masters to lvl 10 
"Imagine the texture having an arrow pointing up, this attribute makes the arrow point towards the alignment axis. Must be used with the SpriteRenderer's CustomAlignment Alignment option.",,"Imagine the texture having an arrow pointing up, this attribute makes the arrow point towards the alignment axis. Must be used with the SpriteRenderer's CustomAlignment Alignment option."
EnableCameraLag,ВКЛЮЧИТЬ КАМЕРА-ЛАГ,EnableCameraLag
After:,,After:
Forend:,,Forend:
Touch Acceleration Mode,,Touch Acceleration Mode
Reward-Type,,Reward-Type
Texture Quality,,Texture Quality
Medium,СРЕДНЕЕ,Medium
GRENADE,ГРАНАТА,GRENADE
Expire:,,Expire:
Time-Total,,Time-Total
Explode,,Explode
 Allow Tracking,"""РАЗРЕШИТЬ ОТСЛЕЖИВАНИЕ""", Allow Tracking
GET AT LVL {Level},ПОЛУЧИ НА LV. {Level},GET AT LVL {Level}
The position of the particle.,,The position of the particle.
Speed Mode,,Speed Mode
Initial Mesh Orientation,,Initial Mesh Orientation
NOT,,NOT
Converted cascade module ParticleModuleMeshRotationRate.,,Converted cascade module ParticleModuleMeshRotationRate.
Upgrade,УЛУЧШИТЬ,Upgrade
Guy waiting for customers...,Паренек ожидает покупателей...,Guy waiting for customers...
PREDATOR JUMPS,ПРЫЖКИ ХИЩНИКА,PREDATOR JUMPS
Attaching jetpack trails...,ПРИКРЕПЛЯЕМ СЛЕДЫ К ДЖЕТПАКАМ...,Attaching jetpack trails...
{t} ,,{t} 
CROSSHAIR AND AMMO,ПРИЦЕЛ И БОЕПРИПАСЫ,CROSSHAIR AND AMMO
I received a lot of gifts but fully upgraded guns are my favorites! ,,I received a lot of gifts but fully upgraded guns are my favorites! 
DEATH,СМЕРТЬ,DEATH
Link-Info,,Link-Info
"NOT BAD, I LIKE IT","НЕПЛОХО, МНЕ НРАВИТСЯ","NOT BAD, I LIKE IT"
NOW,СЕЙЧАС,NOW
Get to battle royale top 3 with {0} different masters,"Достигните ТОП-3 в ""Королевской Битве"" с {0} разными мастерами",Get to battle royale top 3 with {0} different masters
CM 0,,CM 0
DELETE,УДАЛИТЬ,DELETE
"PLEASE, ","ПОЖАЛУЙСТА,","PLEASE, "
Specified arrangement of control buttons on the screen,,Specified arrangement of control buttons on the screen
DON'T PRESS,НЕ НАЖИМАТЬ!,DON'T PRESS
"Sets the ribbon width for a particle, in UE4 units.",,"Sets the ribbon width for a particle, in UE4 units."
Ready Time: ,,Ready Time: 
Task-Result,,Task-Result
Counter,СЧЕТЧИК,Counter
DOMINATION,ДОМИНИРОВАНИЕ,DOMINATION
Reward-Amount,,Reward-Amount
4H,4Ч,4H
Raising fun level...,ПОВЫШАЕМ УРОВЕНЬ РАДОСТИ...,Raising fun level...
Bullseye wiping scope...,БУЛС-АЙ ПРОТИРАЕТ ПРИЦЕЛ...,Bullseye wiping scope...
OPEN BETA 2,OBT-2,OPEN BETA 2
Pick up epic armor,Подберите эпическую броню,Pick up epic armor
A value from 0 to the number of entries in the table of SubUV images.,,A value from 0 to the number of entries in the table of SubUV images.
 FOR MORE,БОЛЬШЕ, FOR MORE
Magnetic Field,,Magnetic Field
Initialize Particle,,Initialize Particle
Bob the Blob putting on luchador mask...,БОБ-БЛОБ НАДЕВАЕТ МАСКУ-ЛУЧАДОРА...,Bob the Blob putting on luchador mask...
Backend,,Backend
Removing the nit-pickers,УБИРАЕМ ЗАНУД...,Removing the nit-pickers
